,pc,ld,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,ma,pred
0,3,83.71,63.0,7.2,52.5,14.0232,130.83,12.428,188.8425,8.952,201.1905,9.2896,141.9075,16.0968,150.339,12.488,173.124,3,0
1,3,108.94,31.5,12.8,84.0,13.284,128.835,13.5256,183.099,8.852,207.2385,8.4704,154.7805,13.3304,101.0205,12.5096,131.4075,3,0
2,0,169.65,0.0,5.6,73.5,14.5472,128.9295,13.6424,174.468,8.98,190.3125,11.3056,156.765,15.334764208456244,122.535,11.7136,176.82,2,1
3,2,122.42,31.5,7.2,63.0,15.0152,119.8575,12.3344,186.858,10.7208,193.8195,10.6096,175.749,15.334764208456244,124.803,13.8424,168.2625,0,0
4,0,125.43,94.5,7.2,42.0,14.4176,135.429,14.5824,187.8135,9.3088,203.154,9.828,172.704,14.472,120.2145,12.52185326061181,150.1185,2,0
5,3,160.61,84.0,10.4,73.5,13.4656,121.3485,14.2832,188.748,10.6888,195.7095,9.8808,167.181,15.5344,103.992,13.8584,169.785,3,0
6,1,112.77,73.5,4.0,73.5,12.7136,110.5125,13.69768284260269,187.635,9.1656,209.5905,7.208,160.923,16.4504,104.181,13.3848,190.5015,3,1
7,4,136.55,73.5,9.6,94.5,14.1792,121.443,13.8368,189.3465,8.8304,211.2705,9.3368,165.4485,15.8424,124.3725,12.5552,158.0775,1,0
8,4,101.09,94.5,8.8,252.0,13.5632,109.3785,13.5984,185.871,8.8368,188.7165,8.5168,163.401,15.932,113.0115,13.4072,150.612,1,1
9,0,110.3,31.5,5.6,84.0,15.3704,135.156,12.8016,182.2065,8.1688,212.8665,9.6952,146.9475,15.58,151.3155,11.9408,208.0575,2,0
10,0,186.26,42.0,6.4,42.0,15.2512,123.2073365962834,14.9176,182.049,9.1296,177.534,8.6024,154.6125,15.664,145.8345,11.5432,209.2965,2,0
11,0,176.45,21.0,12.8,42.0,14.6136,123.627,13.324,188.6745,7.9544,217.077,10.072,179.2665,14.244,122.9865,11.0328,168.5308173850917,2,0
12,2,157.23,84.0,8.8,73.5,14.7368,138.8415,13.7136,194.082,8.7664,190.4385,8.8896,165.9105,15.0288,135.261,12.52185326061181,157.2165,0,0
13,3,104.42,84.0,7.2,136.5,13.3384,136.962,12.9008,192.864,7.9368,207.753,9.5,147.9765,12.1544,145.4145,12.5272,212.4045,3,1
14,0,107.34,10.5,5.6,0.0,14.2344,131.6175,13.9,185.2725,9.388,189.42,7.4864,176.358,14.1552,154.56,12.6096,177.7335,2,0
15,2,149.71,42.0,8.8,94.5,14.8856,124.152,16.6056,194.9115,9.1256,209.958,9.876,155.6835,15.4424,108.3285,14.0736,166.971,0,0
16,1,100.85,136.5,3.2,105.0,13.9424,140.238,13.8096,175.098,9.8992,201.9465,9.4216,166.1835,15.334764208456244,109.662,11.0248,186.396,3,0
17,4,135.8,94.5,5.6,84.0,14.2432,123.0285,13.4,184.6635,9.7,206.871,9.143454445837396,157.857,13.912,113.904,13.3312,162.2145,1,1
18,3,93.51,0.0,9.6,10.5,13.9608,114.198,14.0504,191.835,9.8232,200.3925,9.7352,171.066,17.1168,124.2255,12.52185326061181,170.0265,3,0
19,4,174.88,94.5,7.2,94.5,14.5288,122.6295,13.26,168.273,9.2752,217.7385,8.2448,202.419,15.2576,140.763,13.464,200.3715,1,0
20,0,130.37,147.0,12.0,52.5,13.2784,122.3145,12.7648,185.073,9.732,193.1685,9.7528,167.958,14.7432,114.2505,12.0632,159.453,2,1
21,3,87.44,105.0,6.4,31.5,13.2536,127.0815,13.5208,192.9795,8.9712,197.3055,9.8728,168.1365,15.5808,91.4025,12.7488,158.1615,3,1
22,3,56.56,126.0,8.0,73.5,14.0752,133.4655,13.988,191.772,9.088,206.8605,10.1296,168.7245,15.332,146.0445,13.8832,197.904,3,0
23,1,231.1,210.0,1.6,63.0,13.8528,130.305,13.8968,182.406,8.3864,201.495,9.1224,173.691,16.0752,135.0825,11.7448,172.2315,3,0
24,2,187.63,52.5,7.2,105.0,13.332,131.082,15.0368,204.75,10.4256,201.7785,9.3256,182.6055,13.7496,114.282,13.1224,183.624,0,1
25,2,121.28,105.0,5.6,63.0,15.3968,133.6545,13.7096,180.3585,8.604,210.105,9.4296,200.592,16.7728,132.0795,12.52185326061181,169.491,0,0
26,3,139.56,63.0,10.4,31.5,14.0432,126.1995,14.6904,176.904,8.7592,194.355,9.7832,181.356,15.334764208456244,121.59,12.2472,143.115,3,0
27,4,145.3,84.0,4.8,115.5,13.0176,121.8945,15.2376,182.112,9.5704,209.223,9.3328,176.8935,16.8024,132.342,13.3448,176.8515,1,0
28,2,88.38,63.0,4.0,73.5,13.968,123.879,13.8728,190.6275,9.0,194.439,10.2016,151.473,15.9808,105.2415,12.52185326061181,188.3595,0,0
29,2,130.05,42.0,8.0,73.5,14.2296,126.987,13.2496,187.6455,9.7408,194.502,8.4264,171.4335,13.0376,108.045,13.3968,174.048,0,0
30,4,214.32,168.0,4.0,52.5,14.5872,124.2255,14.5168,183.897,10.3704,172.2525,8.912,140.6895,13.744,136.563,12.4384,165.207,1,0
31,1,174.69,157.5,2.4,52.5,12.2144,109.4415,12.6064,179.361,9.4872,209.7165,9.143454445837396,169.2395625349097,16.0624,142.716,12.7264,180.9675,3,1
32,3,120.57,94.5,5.6,84.0,13.3216,107.247,13.108,195.678,9.1448,211.1445,8.212,173.187,16.1296,121.8105,12.6936,154.371,3,0
33,0,100.89,63.0,5.6,21.0,14.6848,133.2345,12.3368,178.8885,8.4328,188.706,8.9872,177.324,14.9928,87.129,12.1224,169.701,2,0
34,1,83.4,147.0,3.2,21.0,13.3024,123.2073365962834,13.7512,179.907,7.9128,181.5555,9.4576,159.1905,16.2288,147.525,11.4096,168.5308173850917,3,0
35,2,73.12,63.0,0.8,105.0,13.1736,127.365,14.456,205.4115,9.2392,182.175,9.8856,169.2395625349097,16.7008,122.86838824694618,11.4456,168.5308173850917,0,0
36,2,211.55,63.0,7.2,52.5,12.8128,101.22,11.5608,174.0795,8.3264,203.8995,10.2872,182.91,14.4912,113.7045,13.228,143.2725,0,0
37,2,167.0,31.5,5.6,73.5,14.5024,122.1465,13.8784,176.4315,9.2056,210.7035,8.6696,182.6265,14.4264,113.673,13.624,179.2245,0,0
